Discipline,Effect,Description,Critique,Link,doi,Notes
Social Psychology,Reading and theory of mind,"Reading fiction improves social cognition, i.e. understanding of others’ cognitive and emotional states. ​",Panero et al. 2016,https://psycnet.apa.org/record/2016-44825-001,,"n=792, citations=291(GS, September 2023)"
Social Psychology,Reading and theory of mind,"Reading fiction improves social cognition, i.e. understanding of others’ cognitive and emotional states. ​",Samur et al. 2018,https://www.tandfonline.com/doi/full/10.1080/02699931.2017.1279591,10.1080/02699931.2017.1279591,"​[n=1,006, citations=126(GS, September 2023)"
Social Psychology,Reading and theory of mind,"Reading fiction improves social cognition, i.e. understanding of others’ cognitive and emotional states. ​",Van Kuijk et al. 2018,https://online.ucpress.edu/collabra/article/4/1/7/112955?utm_source=TrendMD&utm_medium=cpc&utm_campaign=Collabra%253A_Psychology_TrendMD_1,,"​[n=393, citations=67(GS, September 2023)"
Social Psychology,Reading and theory of mind,"Reading fiction improves social cognition, i.e. understanding of others’ cognitive and emotional states. ​",Dodell-Feder & Tamir 2018,https://psycnet.apa.org/record/2018-08010-001,,"​[meta-analysis, _k_=14, citations=198(GS, September 2023)"
Social Psychology,Reading and theory of mind,"Reading fiction improves social cognition, i.e. understanding of others’ cognitive and emotional states. ​",Kidd & Castano 2019,https://journals.sagepub.com/doi/abs/10.1177/1948550618775410,10.1177/1948550618775410,"​[n1=479, n2=318, n3=346, citations=95(GS, September 2023)"
Social Psychology,Morning morality effect,"Normal, unremarkable experiences associated with everyday living can deplete one’s capacity to resist moral temptations. People were more likely to lie and cheat in the afternoon than in the morning.​",Jiang et al. 2023,https://www.sciencedirect.com/science/article/pii/S0191886923002532,,"n1=1720, n2=988, meta-analysis, _k_=32 samples, n=7161, citations=0(GS, September 2023)"
Positive Psychology,Power pose,"Taking on a power pose lowers cortisol and risk tolerance, while it raises testosterone and feelings of power",Garrison et al. 2016,https://journals.sagepub.com/doi/full/10.1177/1948550616652209,10.1177/1948550616652209,"n=305, citations = 70 (GS, April 2022)"
Positive Psychology,Power pose,"Taking on a power pose lowers cortisol and risk tolerance, while it raises testosterone and feelings of power",Metzler and Grezes 2019,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6585898/#!po=40.4762,,"n = 82 men, citations = 3 (GS, April 2022)"
Positive Psychology,Power pose,"Taking on a power pose lowers cortisol and risk tolerance, while it raises testosterone and feelings of power",Ranehill 2015,https://journals.sagepub.com/doi/10.1177/0956797614553946,10.1177/0956797614553946,"total n=200, citations = 291 (GS, April 2022)"
Positive Psychology,Power pose,"Taking on a power pose lowers cortisol and risk tolerance, while it raises testosterone and feelings of power",Ronay 2017,https://www.tandfonline.com/doi/full/10.1080/23743603.2016.1248081,10.1080/23743603.2016.1248081,"n=108, citations = 38 (GS, April 2022)"
Positive Psychology,Facial Feedback,"Smiling causes a good mood, while pouting produces a bad mood",Coles et al. 2019,https://psyarxiv.com/svjru/,,"(meta-analysis _k_ = 98, n=3878, citation= 115 (GS, February 2022)"
Positive Psychology,Facial Feedback,"Smiling causes a good mood, while pouting produces a bad mood",Wagenmakers et al. 2016,https://www.ejwagenmakers.com/2016/WagenmakersEtAl2016Strack.pdf,,"meta-analysis n=1894, citation=349 (GS, February 2022)"
Positive Psychology,Facial Feedback,"Smiling causes a good mood, while pouting produces a bad mood",Schimmack 2017,https://replicationindex.com/2017/09/04/the-power-of-the-pen-paradigm-a-replicability-analysis/,,"replicability analysis _k_=19, citation=0 (GS, March 2023)"
Positive Psychology,Positive affirmation on mood,Positive self-statements boost mood for people with high self-esteem and reduce mood for people with low self-esteem,Flynn and Bordieri 2020,https://doi.org/10.1016/j.jcbs.2020.03.003,10.1016/j.jcbs.2020.03.003,"experiment: n = 462, citations=4(GS, February 2022)"
Positive Psychology,Mindfulness for mental health,"Mindfulness, the practice of paying attention to the present moment in a non-judgemental way, is thought to have a beneficial effect on mental health outcomes, including but not limited to helping individuals reduce stress and anxiety and manage emotional states more effectively","meta-analysis, k=39 studies, n=1,140, citations= 5337 (GS, May 2023)].  Khoury et al. 2013 [meta-analysis, k= 209 studies, n=12,145, citations= 2484 (GS, May 2023)]. Strauss et al., 2014 [meta-analysis, k= 19 studies, n=578, citations= 659 (GS, May 2023)]. [Fumero et al. 2020",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8314302/,,"_n _= 91, citations= 30 (PubMed, March 2023)"
Positive Psychology,Mindfulness for mental health,"Mindfulness, the practice of paying attention to the present moment in a non-judgemental way, is thought to have a beneficial effect on mental health outcomes, including but not limited to helping individuals reduce stress and anxiety and manage emotional states more effectively","meta-analysis, k=7 trials, n=502, citations= 2 (GS, May 2023)]. Chayadi et al., 2022 [meta-analysis, k=36, n=1677, citations= 8 (GS, May 2023)]. [Coronado-Montoya 2016",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0153220,10.1371/journal.pone.0153220,"n=357, citations= 21 (GS, March 2023)"
Positive Psychology,Mindfulness for mental health,"Mindfulness, the practice of paying attention to the present moment in a non-judgemental way, is thought to have a beneficial effect on mental health outcomes, including but not limited to helping individuals reduce stress and anxiety and manage emotional states more effectively",Britton 2019,https://www.sciencedirect.com/science/article/pii/S2352250X18301453,,"_n _= NA, citations= 169 (GS, March 2023)"
Positive Psychology,Mindfulness for mental health,"Mindfulness, the practice of paying attention to the present moment in a non-judgemental way, is thought to have a beneficial effect on mental health outcomes, including but not limited to helping individuals reduce stress and anxiety and manage emotional states more effectively","Hsiao et al. 2020 [n = NA, citations= 17(GS, May 2023)].",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6435335/,,
Positive Psychology,Mindfulness for mental health,"Mindfulness, the practice of paying attention to the present moment in a non-judgemental way, is thought to have a beneficial effect on mental health outcomes, including but not limited to helping individuals reduce stress and anxiety and manage emotional states more effectively",Kuyken et al. 2022,https://pubmed.ncbi.nlm.nih.gov/35820992/,,"n=8376, citations= 21 (PubMed, March, 2023)"
Positive Psychology,Mindfulness for mental health,"Mindfulness, the practice of paying attention to the present moment in a non-judgemental way, is thought to have a beneficial effect on mental health outcomes, including but not limited to helping individuals reduce stress and anxiety and manage emotional states more effectively",Sephton et al. 2007,https://link.springer.com/article/10.1007/s10880-009-9153-z,10.1007/s10880-009-9153-z,"_n _= 91, citations= 495 (PubMed, March, 2023)"
Positive Psychology,Grit and Well-being,"Grittier people, those pursuing long-term goals with perseverance and passion, have greater subjective well-being",Datu et al. 2016,https://link.springer.com/article/10.1007/s12144-015-9374-2,10.1007/s12144-015-9374-2,"n1=220, n2=606, citations=368(GS, September 2022)"
Positive Psychology,Grit and Well-being,"Grittier people, those pursuing long-term goals with perseverance and passion, have greater subjective well-being",Akbag & Ümmet 2017,https://eric.ed.gov/?id=ED577838,,"n=348, citations=73(GS, September 2022)"
Positive Psychology,Grit and Well-being,"Grittier people, those pursuing long-term goals with perseverance and passion, have greater subjective well-being",Kwon 2018,https://www.proquest.com/openview/ce9a09d27b609c744f534bf86ca354e3/1?pq-origsite=gscholar&cbl=18750,,"n=533 (USA), n=475 (South Korea), citations=13(GS, September 2022)"
Positive Psychology,Grit and Well-being,"Grittier people, those pursuing long-term goals with perseverance and passion, have greater subjective well-being",Disabato et al. 2019,https://onlinelibrary.wiley.com/doi/abs/10.1111/jopy.12382,10.1111/jopy.12382,"n=7,167, citations=189(GS, September 2022)"
Positive Psychology,Grit and Well-being,"Grittier people, those pursuing long-term goals with perseverance and passion, have greater subjective well-being",Jiang et al. 2020,https://www.tandfonline.com/doi/abs/10.1080/17439760.2019.1639796,10.1080/17439760.2019.1639796,"n1=2,963, n2=78, citations=52(GS, September 2022)"
Positive Psychology,Grit and Well-being,"Grittier people, those pursuing long-term goals with perseverance and passion, have greater subjective well-being",Hou et al. 2022,https://journals.sagepub.com/doi/abs/10.1177/01461672211053453,10.1177/01461672211053453,"meta-analysis, _k_=83, n=66,518, citations=16(GS, September 2022)"
Cognitive Psychology,Verbal overshadowing effect,"In a series of six experiments, verbalising the appearance of previously seen visual stimuli impaired subsequent recognition performance",Alogna 2014,https://journals.sagepub.com/doi/10.1177/1745691614545653,10.1177/1745691614545653,"n=1105 (experiment 1), n = 663(experiment 2), citations=192 (GS, November 2022)"
Cognitive Psychology,Age of acquisition effects - influence on free recall (pure block),Early-acquired items are recalled more accurately than late-acquired items when early-acquired items are presented in a separate block and late-acquired items are presented in a separate block,Almond and Morrison 2014,https://www.tandfonline.com/doi/pdf/10.1080/13825585.2013.849653?casa_token=1mZ----fbTMAAAAA:mC66IZWTiiUfd5Tga5m683nbSPU8KkLfjIihbi0KvN3QivtJ95X1I8ACDyI3-8C6ExLd-gk1jy8Adw,10.1080/13825585.2013.849653,"n =80, citations = 8(GS, November 2022)"
Cognitive Psychology,Age of acquisition effects - influence on free recall (pure block),Early-acquired items are recalled more accurately than late-acquired items when early-acquired items are presented in a separate block and late-acquired items are presented in a separate block,Dewhurst et al. 1998,https://www.researchgate.net/profile/Christopher-Barry-6/publication/232448882_Separate_effects_of_word_frequency_and_age_of_acquisition_in_recognition_and_recall/links/5735b45708ae298602e08719/Separate-effects-of-word-frequency-and-age-of-acquisition-in-recognition-and-recall.pdf,,"n=128, citations=117(GS, November 2022)"
Cognitive Psychology,Age of acquisition effects - influence on free recall (pure block),Early-acquired items are recalled more accurately than late-acquired items when early-acquired items are presented in a separate block and late-acquired items are presented in a separate block,Macmillan et al. 2022,https://link.springer.com/article/10.3758/s13421-021-01137-6,10.3758/s13421-021-01137-6,"n = 44, citations = 9 (GS, November 2022)"
Cognitive Psychology,Age of acquisition effects - influence on free recall (mixed block),Early-acquired items are recalled more accurately than late-acquired items when early-acquired items are mixed with late-acquired items in a block,Elsherif et al. 2023,https://www.sciencedirect.com/science/article/pii/S0749596X23000487,,"n = 120, citations = 0 (GS, August 2023])"
Cognitive Psychology,Age of acquisition effects - influence on free recall (mixed block),Early-acquired items are recalled more accurately than late-acquired items when early-acquired items are mixed with late-acquired items in a block,Macmillan et al. 2022,https://link.springer.com/article/10.3758/s13421-021-01137-6,10.3758/s13421-021-01137-6,"n = 44, citations = 9 (GS, November 2022)"
Cognitive Psychology,Age of acquisition effects - influence on recognition (mixed block),Early-acquired items are recalled more accurately than late-acquired items,Dewhurst et al. 1998,https://www.researchgate.net/profile/Christopher-Barry-6/publication/232448882_Separate_effects_of_word_frequency_and_age_of_acquisition_in_recognition_and_recall/links/5735b45708ae298602e08719/Separate-effects-of-word-frequency-and-age-of-acquisition-in-recognition-and-recall.pdf,,"Experiment 1: n=30, Experiment 2: n = 30; citations=117(GS, November 2022)"
Cognitive Psychology,Age of acquisition effects - influence on recognition (mixed block),Early-acquired items are recalled more accurately than late-acquired items,Elsherif et al. 2023,https://www.sciencedirect.com/science/article/pii/S0749596X23000487,,"n = 120, citations = 0 (GS, August 2023])"
Cognitive Psychology,Age of acquisition effects - influence on recognition (mixed block),Early-acquired items are recalled more accurately than late-acquired items,Macmillan et al. 2022,https://link.springer.com/article/10.3758/s13421-021-01137-6,10.3758/s13421-021-01137-6,"n = 44, citations = 9 (GS, November 2022)"
Cognitive Psychology,Age of acquisition influence on the pre-conceptual stages of lexical retrieval (progressive demasking),"Age of acquisition influences the pre-conceptual stages of lexical retrieval (progressive demasking). **Early-acquired items are identified more accurately than late-acquired items, using a progressive demasking task. A progressive demasking task is a type of perceptual identification task where participants are presented with a series of words that are gradually revealed over time and their ability to identify words at each stage of the task is measured. Words learned at an earlier age are thought to be easier to demask than those learned later in life, perhaps because the individual has gained more experience and exposure to the word, which can make it easier to recognize",Gilhooly and Logie 1981b,https://link.springer.com/article/10.1007/BF03186732,10.1007/BF03186732,"n = 16, citations = 101(GS, December 2022)]​"
Cognitive Psychology,Age of acquisition influence on the pre-conceptual stages of lexical retrieval (progressive demasking),"Age of acquisition influences the pre-conceptual stages of lexical retrieval (progressive demasking). **Early-acquired items are identified more accurately than late-acquired items, using a progressive demasking task. A progressive demasking task is a type of perceptual identification task where participants are presented with a series of words that are gradually revealed over time and their ability to identify words at each stage of the task is measured. Words learned at an earlier age are thought to be easier to demask than those learned later in life, perhaps because the individual has gained more experience and exposure to the word, which can make it easier to recognize",Ghyselinck et al. 2004,https://www.sciencedirect.com/science/article/abs/pii/S0001691803001070,,"n = 21, citations = 192(GS, December 2022)"
Cognitive Psychology,Age of acquisition influence on the pre-conceptual stages of lexical retrieval (progressive demasking),"Age of acquisition influences the pre-conceptual stages of lexical retrieval (progressive demasking). **Early-acquired items are identified more accurately than late-acquired items, using a progressive demasking task. A progressive demasking task is a type of perceptual identification task where participants are presented with a series of words that are gradually revealed over time and their ability to identify words at each stage of the task is measured. Words learned at an earlier age are thought to be easier to demask than those learned later in life, perhaps because the individual has gained more experience and exposure to the word, which can make it easier to recognize",Chen et al. 2009,https://www.sciencedirect.com/science/article/pii/S000169180800156X#section.0015,,"n = 30, citations = 28(GS, December 2022)]​"
Cognitive Psychology,Age of acquisition influence on the pre-conceptual stages of lexical retrieval (progressive demasking),"Age of acquisition influences the pre-conceptual stages of lexical retrieval (progressive demasking). **Early-acquired items are identified more accurately than late-acquired items, using a progressive demasking task. A progressive demasking task is a type of perceptual identification task where participants are presented with a series of words that are gradually revealed over time and their ability to identify words at each stage of the task is measured. Words learned at an earlier age are thought to be easier to demask than those learned later in life, perhaps because the individual has gained more experience and exposure to the word, which can make it easier to recognize",Ploetz and Yates 2016,https://onlinelibrary.wiley.com/doi/pdf/10.1111/1467-9817.12040?casa_token=KVhDoVhN5sUAAAAA:uV5Dk3A-T5LjDGJy4S0FTeuJ0H_vRPRkVrwDyM9mv8xu70lIgL3kEKjwodT4zwXS2E0CqlfB-TTz,10.1111/1467-9817.12040,"n = 64, citations = 1(GS, December 2022)"
Cognitive Psychology,Age of acquisition influence on the pre-conceptual stages of lexical retrieval (object decision),The age at which one acquires the concept of  an object does not contribute to the speed and accuracy of recognising whether an object is a real object or not a real world object that has chimeric features,Catling and Johnston 2009,https://journals.sagepub.com/doi/full/10.1080/17470210701814352?casa_token=cBjiHPY1S2EAAAAA%3A__YuabpjtelXo1DyH3PjTZxNcUxcI6UxH6dXF3PrNc4h4C75SIiNcMNzpY7dwPX1wNS27vFpNHg,10.1080/17470210701814352,"Experiment 2: n = 20; citations = 54 (GS, December 2022)"
Cognitive Psychology,Age of acquisition influence on the pre-conceptual stages of lexical retrieval (object decision),The age at which one acquires the concept of  an object does not contribute to the speed and accuracy of recognising whether an object is a real object or not a real world object that has chimeric features,Holmes and Ellis 2006,https://www.tandfonline.com/doi/full/10.1080/13506280544000093?casa_token=hCSgWyLLg84AAAAA%3ACQ0TDFs4z0ap-tmKleeo9sCRNMHE9NBnAYSwxTaaBgWgnPWgY2MXZkT0QkTOdpeUeaWzdq-izU8,10.1080/13506280544000093,"Experiment 2: n = 20, Experiment 3: n = 20, Experiment 7: n = 46, citations = 87 (GS, December 2022)"
Cognitive Psychology,Age of acquisition influence on the pre-conceptual stages of lexical retrieval (object decision),The age at which one acquires the concept of  an object does not contribute to the speed and accuracy of recognising whether an object is a real object or not a real world object that has chimeric features,Moore et al. 2004,https://www.tandfonline.com/doi/pdf/10.1080/09541440340000097?casa_token=q3lMfUyD3zMAAAAA:qHstbfceqQDXkxM0IZuAAYjqr2_A15dkjKhwjC3v3lzTI3zLQxEaIdUc0PhcZU_U16uuXZ3V7kM,10.1080/09541440340000097,"Experiment 1: n = 39, Experiment 2: n = 38, citations = 79 (GS, December 2022)"
Cognitive Psychology,Age of acquisition influence on the pre-conceptual stages of lexical retrieval (object decision),The age at which one acquires the concept of  an object does not contribute to the speed and accuracy of recognising whether an object is a real object or not a real world object that has chimeric features,Vitkovitch and Tyrrell 1995,https://journals.sagepub.com/doi/abs/10.1080/14640749508401419,10.1080/14640749508401419,"n = 16, citations = 211 (GS, December 2022)"
Cognitive Psychology,Age of acquisition influence on the pre-conceptual stages of lexical retrieval (anagram solution),"Age of acquisition is thought to affect lexical retrieval through its impact on anagram (word jumbles) solutions, such that words acquired at an earlier age tend to be solved more quickly and accurately in anagram tasks than those learned later in life. This may be because words learned earlier in life are more deeply encoded and may therefore be more easily accessed",Gilhooly and Johnson 1978,https://journals.sagepub.com/doi/abs/10.1080/14640747808400654,10.1080/14640747808400654,"n = 45, citations = 78(GS, December 2022)"
Cognitive Psychology,Age of acquisition influence on the pre-conceptual stages of lexical retrieval (anagram solution),"Age of acquisition is thought to affect lexical retrieval through its impact on anagram (word jumbles) solutions, such that words acquired at an earlier age tend to be solved more quickly and accurately in anagram tasks than those learned later in life. This may be because words learned earlier in life are more deeply encoded and may therefore be more easily accessed",Gilhooly and Gilhooly 1979,https://link.springer.com/article/10.3758/BF03197541,10.3758/BF03197541,"n = 45, citations = 236(GS, December 2022)"
Cognitive Psychology,Age of acquisition influence on the pre-conceptual stages of lexical retrieval (visual duration threshold),"Early-acquired items are identified more accurately than late-acquired items, using visual duration threshold task",Chen et al. 2009,https://www.sciencedirect.com/science/article/pii/S000169180800156X#section.0015,,"n = 31, citations = 28(GS, December 2022)"
Cognitive Psychology,Age of acquisition influence on the pre-conceptual stages of lexical retrieval (category verification),"The age at which one acquires an object does not contribute to the speed and accuracy of category verification during a semantic categorisation task (where objects have to be decided whether they represent one group or another, e.g. tools vs. furniture",Catling and Elsherif 2020,https://www.sciencedirect.com/science/article/pii/S0001691820302158,,"Experiment 1a: n = 48, Experiment 2a: n = 48, citations = 12(GS, December 2022)"
Cognitive Psychology,Age of acquisition influence on the pre-conceptual stages of lexical retrieval (category verification),"The age at which one acquires an object does not contribute to the speed and accuracy of category verification during a semantic categorisation task (where objects have to be decided whether they represent one group or another, e.g. tools vs. furniture",Catling and Johnston 2006,https://bpspsychub.onlinelibrary.wiley.com/doi/pdf/10.1348/000712605X53515?casa_token=UGzPKL897K0AAAAA:1d36m-_51V8D7ssU_nJYJ_HFTQK3WqMQfhEgXosiAjDEbq73Bt9IqTfyJnlLCU8-OjMOPa1xfqUb,10.1348/000712605X53515,"Experiment 1: n = 15, citations = 17(GS, December 2022)"
Cognitive Psychology,Age of acquisition influence on the pre-conceptual stages of lexical retrieval (category verification),"The age at which one acquires an object does not contribute to the speed and accuracy of category verification during a semantic categorisation task (where objects have to be decided whether they represent one group or another, e.g. tools vs. furniture",Catling and Johnston 2009,https://journals.sagepub.com/doi/full/10.1080/17470210701814352?casa_token=cBjiHPY1S2EAAAAA%3A__YuabpjtelXo1DyH3PjTZxNcUxcI6UxH6dXF3PrNc4h4C75SIiNcMNzpY7dwPX1wNS27vFpNHg,10.1080/17470210701814352,"Experiment 1: n = 24, citations = 54 (GS, December 2022)"
Cognitive Psychology,Age of acquisition influence on the pre-conceptual stages of lexical retrieval (category verification),"The age at which one acquires an object does not contribute to the speed and accuracy of category verification during a semantic categorisation task (where objects have to be decided whether they represent one group or another, e.g. tools vs. furniture",Holmes and Ellis 2006,https://www.tandfonline.com/doi/full/10.1080/13506280544000093?casa_token=hCSgWyLLg84AAAAA%3ACQ0TDFs4z0ap-tmKleeo9sCRNMHE9NBnAYSwxTaaBgWgnPWgY2MXZkT0QkTOdpeUeaWzdq-izU8,10.1080/13506280544000093,"Experiment 4: n = 20, Experiment 7: n = 30, citations = 87 (GS, December 2022)"
Cognitive Psychology,Age of acquisition influence on the pre-conceptual stages of lexical retrieval (category verification),"The age at which one acquires an object does not contribute to the speed and accuracy of category verification during a semantic categorisation task (where objects have to be decided whether they represent one group or another, e.g. tools vs. furniture",Räling et al. 2015,https://id.elsevier.com/as/authorization.oauth2?platSite=SD%2Fscience&scope=openid%20email%20profile%20els_auth_info%20els_idp_info%20els_idp_analytics_attrs%20urn%3Acom%3Aelsevier%3Aidp%3Apolicy%3Aproduct%3Ainst_assoc&response_type=code&redirect_uri=https%3A%2F%2Fwww.sciencedirect.com%2Fuser%2Fidentity%2Flanding&authType=SINGLE_SIGN_IN&prompt=none&client_id=SDFE-v3&state=retryCounter%3D0%26csrfToken%3D330d4c08-d9ee-4446-89c3-97cb2befb97a%26idpPolicy%3Durn%253Acom%253Aelsevier%253Aidp%253Apolicy%253Aproduct%253Ainst_assoc%26returnUrl%3D%252Fscience%252Farticle%252Fpii%252FS0028393215300464%26prompt%3Dnone%26cid%3Darp-88cf3d96-7497-41e6-8772-f6dc7deda875,,"n = 36, citations = 24(GS, December 2022)"
Cognitive Psychology,Age of acquisition influence on the pre-conceptual stages of lexical retrieval (category verification),"The age at which one acquires an object does not contribute to the speed and accuracy of category verification during a semantic categorisation task (where objects have to be decided whether they represent one group or another, e.g. tools vs. furniture",Stadthagen-Gonzalez et al. 2009,https://journals.sagepub.com/doi/full/10.1080/17470210802511139?casa_token=pDIGsm7dHd4AAAAA%3AGUSBA6-rY-HjKyIjQkD-OP6NGiga7W1aiHL5Zk5GmZEzUmxp3jMR081eB7pjPo_BMPH3VdbU3Ko,10.1080/17470210802511139,"n = 100, citations = 51 (GS, December 2022)"
Cognitive Psychology,Age of acquisition influence on the pre-conceptual stages of lexical retrieval (category falsification),"The age at which one acquires the name of an object object does not contribute to the speed and accuracy of category falsification (i.e. deciding that a different word and the picture of the acquired concept do not match; e.g. the picture of the acquired concept of a rabbit, paired with the non-matching word “mouse”",Catling and Elsherif 2020,https://www.sciencedirect.com/science/article/pii/S0001691820302158,,"Experiment 1a: n = 48, Experiment 2a:  n = 48, citations = 12(GS, December 2022)"
Cognitive Psychology,Age of acquisition influence on the pre-conceptual stages of lexical retrieval (category falsification),"The age at which one acquires the name of an object object does not contribute to the speed and accuracy of category falsification (i.e. deciding that a different word and the picture of the acquired concept do not match; e.g. the picture of the acquired concept of a rabbit, paired with the non-matching word “mouse”",Catling and Johnston 2006,https://bpspsychub.onlinelibrary.wiley.com/doi/pdf/10.1348/000712605X53515?casa_token=UGzPKL897K0AAAAA:1d36m-_51V8D7ssU_nJYJ_HFTQK3WqMQfhEgXosiAjDEbq73Bt9IqTfyJnlLCU8-OjMOPa1xfqUb,10.1348/000712605X53515,"Experiment 1: n = 15, citations = 17(GS, December 2022)"
Cognitive Psychology,Age of acquisition influence on the pre-conceptual stages of lexical retrieval (category falsification),"The age at which one acquires the name of an object object does not contribute to the speed and accuracy of category falsification (i.e. deciding that a different word and the picture of the acquired concept do not match; e.g. the picture of the acquired concept of a rabbit, paired with the non-matching word “mouse”",Stadthagen-Gonzalez et al. 2009,https://journals.sagepub.com/doi/full/10.1080/17470210802511139?casa_token=pDIGsm7dHd4AAAAA%3AGUSBA6-rY-HjKyIjQkD-OP6NGiga7W1aiHL5Zk5GmZEzUmxp3jMR081eB7pjPo_BMPH3VdbU3Ko,10.1080/17470210802511139,"n = 100, citations = 51 (GS, December 2022)"
Cognitive Psychology,Age of acquisition influence on face recognition,Early-acquired faces are recognised more quickly and accurately than late-acquired faces,Lima et al. 2022,https://link.springer.com/article/10.3758/s13428-021-01572-y,10.3758/s13428-021-01572-y,"n = 180, citations = 2 (GS, December 2022)"
Cognitive Psychology,Age of acquisition influence on familiarity decision,Age of acquisition influence on face familiarity decision. **Early-acquired faces are recognised as familiar faces more quickly than late-acquired faces when the task is to discriminate between familiar and unfamiliar faces,Richards and Ellis 2009,https://www.redalyc.org/pdf/169/16911991001.pdf,,"n = 36, citations = 9 (GS, December 2022)"
Cognitive Psychology,Age of acquisition influence on face gender decision,"The age at which  a celebrity face is acquired does not affect the speed to recognise a celebrity’s face, using a gender decision task (is this face male or female",Richards and Ellis 2009,https://www.redalyc.org/pdf/169/16911991001.pdf,,"n = 36, citations = 9 (GS, December 2022)"
Cognitive Psychology,Age of acquisition influence on semantic decision,Early-acquired semantic concepts are categorised more quickly and accurately than later acquired concepts,Bai et al. 2013,https://journals.sagepub.com/doi/full/10.1080/17470218.2012.719528?casa_token=TYjTUEFlwaYAAAAA%3AznG0ujwMs7wIFYqAoyATylPGOEfg1gliUN2BVkvRoXdanL7jjZUX7hDW_lgDWDS_cp6lU59E3LY,10.1080/17470218.2012.719528,"Experiment 3: n = 32, citations = 6(GS, December 2022)"
Cognitive Psychology,Age of acquisition influence on semantic decision,Early-acquired semantic concepts are categorised more quickly and accurately than later acquired concepts,Chen et al. 2007,https://bpspsychub.onlinelibrary.wiley.com/doi/full/10.1348/000712606X165484?casa_token=zi8r1WVmVPQAAAAA%3AooKjFY9sLC6fWXbWhpA9cQ8hbFetgBo9jrAfcy9zsEhFFBHX9H-VOo8p-ZBCI4WMrtYibm5KxJVx,10.1348/000712606X165484,"Experiment 2: n = 28, citations = 43(GS, December 2022)"
Cognitive Psychology,Age of acquisition influence on semantic decision,Early-acquired semantic concepts are categorised more quickly and accurately than later acquired concepts,De Deyne and Storms 2007 [,https://www.sciencedirect.com/science/article/pii/S0001691806000497,,"young adult: n = 21, older adult: n = 21, citations = 35 (GS, December 2022)"
Cognitive Psychology,Age of acquisition influence on semantic decision,Early-acquired semantic concepts are categorised more quickly and accurately than later acquired concepts,Ghyselinck et al. 2004,https://www.sciencedirect.com/science/article/pii/S0001691803001070,,"n = 20, citations = 192 (GS, December 2022)"
Cognitive Psychology,Age of acquisition influence on semantic decision,Early-acquired semantic concepts are categorised more quickly and accurately than later acquired concepts,Izura and Hernandez-Munoz 2017,https://www.degruyter.com/document/doi/10.1515/opli-2017-0025/html,10.1515/opli-2017-0025/html,"first categorisation task n = 30, second categorisation task: n = 26, citations = 1 (GS, December 2022)"
Cognitive Psychology,Age of acquisition influence on the conceptual stages of lexical retrieval in opaque languages (spoken picture naming in opaque languages),"Age of acquisition influence on the conceptual stages of lexical retrieval in opaque languages (spoken picture naming in opaque language). **Early-acquired objects are named more quickly and accurately than late-acquired objects in opaque languages or deep orthography (i.e. spelling-sound correspondence is not direct where one is able to pronounce the word correctly based on the spelling; e.g. English, French",Alario et al. 2004,https://link.springer.com/article/10.3758/BF03195559,10.3758/BF03195559,"n = 46, citations = 372 (GS, January 2023)"
Cognitive Psychology,Age of acquisition influence on the conceptual stages of lexical retrieval in opaque languages (spoken picture naming in opaque languages),"Age of acquisition influence on the conceptual stages of lexical retrieval in opaque languages (spoken picture naming in opaque language). **Early-acquired objects are named more quickly and accurately than late-acquired objects in opaque languages or deep orthography (i.e. spelling-sound correspondence is not direct where one is able to pronounce the word correctly based on the spelling; e.g. English, French",Bonin et al. 2001,https://www.tandfonline.com/doi/abs/10.1080/713755968?casa_token=38y5RBQDY08AAAAA:maWDcXn1e9E-PqRxZ6pIZEkFXsFA9fZONJ2-Kl-ezanxfOdW9usuRxizz_YZDXtXRYBgGscaRsQ,10.1080/713755968,"n = 30, citations=166(GS, December 2022)]​"
Cognitive Psychology,Age of acquisition influence on the conceptual stages of lexical retrieval in opaque languages (spoken picture naming in opaque languages),"Age of acquisition influence on the conceptual stages of lexical retrieval in opaque languages (spoken picture naming in opaque language). **Early-acquired objects are named more quickly and accurately than late-acquired objects in opaque languages or deep orthography (i.e. spelling-sound correspondence is not direct where one is able to pronounce the word correctly based on the spelling; e.g. English, French",Bonin et al. 2003,https://link.springer.com/article/10.3758/BF03195507,10.3758/BF03195507,"n = 30, citations = 381(GS, January 2023)"
Cognitive Psychology,Age of acquisition influence on the conceptual stages of lexical retrieval in opaque languages (spoken picture naming in opaque languages),"Age of acquisition influence on the conceptual stages of lexical retrieval in opaque languages (spoken picture naming in opaque language). **Early-acquired objects are named more quickly and accurately than late-acquired objects in opaque languages or deep orthography (i.e. spelling-sound correspondence is not direct where one is able to pronounce the word correctly based on the spelling; e.g. English, French",Catling and Elsherif 2020,https://www.sciencedirect.com/science/article/pii/S0001691820302158,,"Experiment  1b: n_ _= 48, citations = 12(GS, December 2022)"
